file,kernel,warmth,metric,value,unit
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Total duration [us],109.55,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP16 FLOPs,"36,281,742",
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP32 FLOPs,"5,433,648",
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP64 FLOPs,0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Total FLOPs,"41,715,390",
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP16 GFLOP/s,331.19,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP32 GFLOP/s,49.60,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP64 GFLOP/s,0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Total GFLOP/s,380.79,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,DRAM rd [GB],0.03095,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,DRAM wr [GB],0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,DRAM total [GB],0.03095,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,DRAM rd BW [GB/s],282.50,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,DRAM wr BW [GB/s],0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,DRAM total BW [GB/s],282.50,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,L2 hit rate [%],58.53,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,L1 hit rate [%],51.00,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Global ld insns,"1,765,567",
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Global st insns,"148,004.00",
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Shared ld insns,122.00,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Shared st insns,456.00,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Total insns,"18,188,824",
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Int insns,0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP16 insns,0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP32 insns,0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,FP64 insns,0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Conv insns,0,
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,cold,Warps launched,"177,040.00",
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,warm,Total duration [us],117.42,
