file,kernel,rep,metric,value,unit
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Exec insns,"842,478",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Total insns,"842,478",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Global ld insns,"132,678",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Global st insns,"7,371",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Shared ld insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Shared st insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Int insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,FP16 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,FP32 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,FP64 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Conv insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Mem insns (thr),"7,017,374",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,HFMA,"1,165,710",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,HMUL,"233,142",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,HADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,FFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,FMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,FADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,DFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,DMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,DADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,DRAM total,997.89,Kbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,DRAM rd,997.89,Kbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,DRAM wr,0,byte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L2 hit bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L2 miss bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L2 hit sectors,"147,191",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L2 miss sectors,"49,676",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L1 hit bytes,11.93,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L1 miss bytes,4.40,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L2 global ld bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L2 global st bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Comp thru [%],22.89,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Mem thru,206.52,Gbyte/s
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,DRAM thru [%],5.19,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Duration,4.83,us
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L2 hit [%],69.45,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,L1 hit [%],73.05,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Mem Busy [%],22.97,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,SM Busy [%],41.06,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Regs/thr,32,register/thread
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Shmem static,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Shmem dynamic,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Occ [%],73.80,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Theo Occ [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Block Size,256,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Grid Size,"1,001",
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Waves/SM,0.95,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Warps active,"25,434,682",warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Warps/cyc active,47.23,warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Warps launched,"8,008",warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Act Thr/Warp,31.68,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Warp Cyc/Inst,30.37,cycle
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Elig Warps/Sched,2.11,warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,No Eligible [%],59.27,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Coal ld [%],52.78,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Coal st [%],99.46,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Sec/req ld,3.75,sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_8_1_5,0,Sec/req st,1.99,sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Exec insns,"1,153,350",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Total insns,"1,153,350",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Global ld insns,"174,960",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Global st insns,"7,290",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Shared ld insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Shared st insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Int insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FP16 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FP32 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FP64 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Conv insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Mem insns (thr),"8,554,320",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,HFMA,"1,152,900",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,HMUL,"230,580",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,HADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DRAM total,1.47,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DRAM rd,1.47,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DRAM wr,0,byte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 hit bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 miss bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 hit sectors,"170,588",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 miss sectors,"71,789",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L1 hit bytes,15.09,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L1 miss bytes,5.47,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 global ld bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 global st bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Comp thru [%],26.85,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Mem thru,251.69,Gbyte/s
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DRAM thru [%],6.31,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Duration,5.82,us
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 hit [%],64.99,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L1 hit [%],73.40,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Mem Busy [%],25.53,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,SM Busy [%],45.54,%
